geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000143870,1,protein_coding,PDIA6,01,turquoise
ENSG00000144152,1,protein_coding,FBLN7,01,turquoise
ENSG00000144668,1,protein_coding,ITGA9,01,turquoise
ENSG00000145050,1,protein_coding,MANF,01,turquoise
ENSG00000145335,1,protein_coding,SNCA,01,turquoise
ENSG00000145365,1,protein_coding,TIFA,01,turquoise
ENSG00000145685,1,protein_coding,LHFPL2,01,turquoise
ENSG00000145708,1,protein_coding,CRHBP,01,turquoise
ENSG00000145819,1,protein_coding,ARHGAP26,01,turquoise
ENSG00000145860,1,protein_coding,RNF145,01,turquoise
ENSG00000145901,1,protein_coding,TNIP1,01,turquoise
ENSG00000145936,1,protein_coding,KCNMB1,01,turquoise
ENSG00000146070,1,protein_coding,PLA2G7,01,turquoise
ENSG00000146535,0,protein_coding,GNA12,00,grey
ENSG00000146592,1,protein_coding,CREB5,01,turquoise
ENSG00000146731,1,protein_coding,CCT6A,01,turquoise
ENSG00000147408,1,protein_coding,CSGALNACT1,01,turquoise
ENSG00000147454,1,protein_coding,SLC25A37,01,turquoise
ENSG00000147459,1,protein_coding,DOCK5,01,turquoise
ENSG00000148926,1,protein_coding,ADM,01,turquoise
ENSG00000149150,1,protein_coding,SLC43A1,01,turquoise
ENSG00000149269,1,protein_coding,PAK1,01,turquoise
ENSG00000149428,1,protein_coding,HYOU1,01,turquoise
ENSG00000151136,1,protein_coding,BTBD11,01,turquoise
ENSG00000151835,1,protein_coding,SACS,01,turquoise
ENSG00000151846,0,protein_coding,PABPC3,00,grey
ENSG00000152128,1,protein_coding,TMEM163,01,turquoise
ENSG00000152766,1,protein_coding,ANKRD22,01,turquoise
ENSG00000153094,1,protein_coding,BCL2L11,01,turquoise
ENSG00000153162,1,protein_coding,BMP6,01,turquoise
ENSG00000153208,1,protein_coding,MERTK,01,turquoise
ENSG00000153823,1,protein_coding,PID1,01,turquoise
ENSG00000154102,1,protein_coding,C16orf74,01,turquoise
ENSG00000154146,1,protein_coding,NRGN,01,turquoise
ENSG00000154928,1,protein_coding,EPHB1,01,turquoise
ENSG00000155099,1,protein_coding,TMEM55A,01,turquoise
ENSG00000155530,0,protein_coding,LRGUK,00,grey
ENSG00000156509,0,protein_coding,FBXO43,00,grey
ENSG00000156711,1,protein_coding,MAPK13,01,turquoise
ENSG00000157017,1,protein_coding,GHRL,01,turquoise
ENSG00000157168,1,protein_coding,NRG1,01,turquoise
ENSG00000157551,1,protein_coding,KCNJ15,01,turquoise
ENSG00000159166,1,protein_coding,LAD1,01,turquoise
ENSG00000160271,1,protein_coding,RALGDS,01,turquoise
ENSG00000160584,1,protein_coding,SIK3,01,turquoise
ENSG00000160712,1,protein_coding,IL6R,01,turquoise
ENSG00000160791,1,protein_coding,CCR5,01,turquoise
ENSG00000161682,1,protein_coding,FAM171A2,01,turquoise
ENSG00000161835,1,protein_coding,GRASP,01,turquoise
ENSG00000161944,1,protein_coding,ASGR2,01,turquoise
ENSG00000162302,0,protein_coding,RPS6KA4,00,grey
ENSG00000162711,1,protein_coding,NLRP3,01,turquoise
ENSG00000162745,1,protein_coding,OLFML2B,01,turquoise
ENSG00000162747,1,protein_coding,FCGR3B,01,turquoise
ENSG00000163013,0,protein_coding,FBXO41,00,grey
ENSG00000163221,1,protein_coding,S100A12,01,turquoise
ENSG00000163297,1,protein_coding,ANTXR2,01,turquoise
ENSG00000163412,1,protein_coding,EIF4E3,01,turquoise
ENSG00000163421,1,protein_coding,PROK2,01,turquoise
ENSG00000163464,1,protein_coding,CXCR1,01,turquoise
ENSG00000163564,1,protein_coding,PYHIN1,01,turquoise
ENSG00000163739,1,protein_coding,CXCL1,01,turquoise
ENSG00000163823,1,protein_coding,CCR1,01,turquoise
ENSG00000164045,1,protein_coding,CDC25A,01,turquoise
ENSG00000164125,1,protein_coding,FAM198B,01,turquoise
