STRING_id,gene,mod,cyto
9606.ENSP00000358098,C1orf54,1,0
9606.ENSP00000358212,C10orf82,1,0
9606.ENSP00000358541,SIKE1,1,0
9606.ENSP00000358644,FAM19A3,1,0
9606.ENSP00000358742,SFR1,1,0
9606.ENSP00000358884,CYB561D1,1,0
9606.ENSP00000359804,FUBP1,1,0
9606.ENSP00000360034,SERBP1,1,0
9606.ENSP00000360552,TSHZ2,1,0
9606.ENSP00000360687,PTGDS,1,0
9606.ENSP00000361664,HIVEP3,1,0
9606.ENSP00000361867,SEMG1,1,0
9606.ENSP00000362328,KCNK17,1,0
9606.ENSP00000362372,BRWD3,1,0
9606.ENSP00000362409,FAM129B,1,0
9606.ENSP00000362778,PI16,1,0
9606.ENSP00000362935,ITGB1BP2,1,0
9606.ENSP00000363017,RPA2,1,0
9606.ENSP00000363254,DRGX,1,0
9606.ENSP00000363683,MDS2,1,0
9606.ENSP00000364190,PBX2,1,0
9606.ENSP00000364526,KIAA1462,1,0
9606.ENSP00000365411,APBB1IP,1,0
9606.ENSP00000365720,TLE4,1,0
9606.ENSP00000366233,GABBR1,1,0
9606.ENSP00000366434,UIMC1,1,0
9606.ENSP00000366897,KLF12,1,0
9606.ENSP00000366945,SLC25A51,1,0
9606.ENSP00000366956,HIST1H4H,1,0
9606.ENSP00000367832,CCL7,0,1
9606.ENSP00000368813,KLHL34,1,0
9606.ENSP00000368908,LHFP,1,0
9606.ENSP00000369554,IFNA2,0,1
9606.ENSP00000370125,HMGN1,1,0
9606.ENSP00000370938,CDK8,1,0
9606.ENSP00000371798,FSCN1,1,0
9606.ENSP00000374240,SHOX2,1,0
9606.ENSP00000375829,LAD1,1,0
9606.ENSP00000376421,SDK2,1,0
9606.ENSP00000377617,MTHFD2,1,0
9606.ENSP00000378254,EML3,1,0
9606.ENSP00000378323,PPP3CA,1,0
9606.ENSP00000378365,CCL26,0,1
9606.ENSP00000378996,NREP,1,0
9606.ENSP00000379110,CXCL1,0,1
9606.ENSP00000379367,LYRM1,1,0
9606.ENSP00000379654,KIAA0430,1,0
9606.ENSP00000379658,ETV6,1,0
9606.ENSP00000380517,CDH24,1,0
9606.ENSP00000381775,TNFSF11,1,0
9606.ENSP00000381992,SEPT7,1,0
9606.ENSP00000382675,ENHO,1,0
9606.ENSP00000383901,LIPM,1,0
9606.ENSP00000383911,UBAC2,1,0
9606.ENSP00000384620,NRG1,1,0
9606.ENSP00000384924,C22orf29,1,0
9606.ENSP00000385689,GRAMD4,1,0
9606.ENSP00000386306,SCN9A,1,0
9606.ENSP00000386444,SAG,1,0
9606.ENSP00000386488,ZC3H8,1,0
9606.ENSP00000386616,ZC3H12D,1,0
9606.ENSP00000386665,FHL2,1,0
9606.ENSP00000386741,CHN1,1,0
9606.ENSP00000386869,TET3,1,0
9606.ENSP00000389600,TLR6,1,0
9606.ENSP00000390637,SLC14A1,1,0
9606.ENSP00000392770,MS4A6A,1,0
9606.ENSP00000393987,FAM19A2,1,0
9606.ENSP00000394390,KCTD15,1,0
9606.ENSP00000396620,NFYC,1,0
9606.ENSP00000396622,MROH7,1,0
9606.ENSP00000397598,KY,1,0
9606.ENSP00000397863,IL34,1,0
9606.ENSP00000397900,MRO,1,0
9606.ENSP00000398105,CHAC1,1,0
9606.ENSP00000400223,FJX1,1,0
9606.ENSP00000401802,PSMC6,1,0
9606.ENSP00000402219,VSIG1,1,0
9606.ENSP00000403151,C10orf105,1,0
9606.ENSP00000405963,RASGRF1,1,0
9606.ENSP00000406472,CDK15,1,0
9606.ENSP00000406541,C11orf21,1,0
9606.ENSP00000408695,PRKCA,1,0
9606.ENSP00000409131,WSB2,1,0
9606.ENSP00000411124,BEGAIN,1,0
9606.ENSP00000412237,IL10,0.5,0.5
9606.ENSP00000412292,DEPDC1,1,0
9606.ENSP00000413049,SLC25A48,1,0
9606.ENSP00000413625,FNBP1,1,0
9606.ENSP00000414398,DNAJB11,1,0
9606.ENSP00000415049,GSDMB,1,0
9606.ENSP00000415899,PUS7L,1,0
9606.ENSP00000416558,FBXO24,1,0
9606.ENSP00000416959,TRA2B,1,0
9606.ENSP00000417038,PHACTR2,1,0
9606.ENSP00000417686,SLBP,1,0
9606.ENSP00000418070,PVRL3,1,0
9606.ENSP00000418695,PSMD6,1,0
9606.ENSP00000419101,CACNA2D3,1,0
9606.ENSP00000420267,NR6A1,1,0
9606.ENSP00000420298,CD200,1,0
9606.ENSP00000423276,ZCCHC10,1,0
9606.ENSP00000426237,SERINC5,1,0
9606.ENSP00000427424,TNFAIP8,1,0
9606.ENSP00000427562,ABL2,1,0
9606.ENSP00000427882,ANKAR,1,0
9606.ENSP00000428324,VASH2,1,0
9606.ENSP00000429150,FAM49B,1,0
9606.ENSP00000429633,MYBL1,1,0
9606.ENSP00000430955,RNF145,1,0
9606.ENSP00000431418,NTRK1,1,0
9606.ENSP00000437188,TIAM2,1,0
9606.ENSP00000437775,BCORL1,1,0
9606.ENSP00000438492,RAB40C,1,0
9606.ENSP00000440428,CLEC4C,1,0
9606.ENSP00000441691,ITGAM,1,0
9606.ENSP00000441927,SESN3,1,0
9606.ENSP00000441949,TAS2R14,1,0
9606.ENSP00000442656,ACVR1B,1,0
9606.ENSP00000443292,FAM222A,1,0
9606.ENSP00000443647,AUNIP,1,0
9606.ENSP00000443824,ZNRF3,1,0
9606.ENSP00000444596,MYCBP2,1,0
9606.ENSP00000445626,EGR4,1,0
9606.ENSP00000445633,HIST1H2BG,1,0
9606.ENSP00000445831,HIST2H2BF,1,0
9606.ENSP00000446058,SHD,1,0
9606.ENSP00000446121,LIMS1,1,0
9606.ENSP00000446460,GCSAML,1,0
9606.ENSP00000447173,VDR,1,0
9606.ENSP00000448051,DAZAP2,1,0
9606.ENSP00000449629,ANKS1B,1,0
9606.ENSP00000453364,HCG27,1,0
9606.ENSP00000454561,C8orf88,1,0
9606.ENSP00000454623,ITGAX,1,0
9606.ENSP00000455585,ZNF853,1,0
9606.ENSP00000457386,SMIM1,1,0
9606.ENSP00000458018,HSPB9,1,0
9606.ENSP00000464317,MYH3,1,0
9606.ENSP00000466933,S1PR2,1,0
9606.ENSP00000467083,MUM1,1,0
9606.ENSP00000468980,SLC25A53,1,0
9606.ENSP00000469613,FLT3LG,0.5,0.5
9606.ENSP00000473212,GPR42,1,0
9606.ENSP00000475084,DUOX2,1,0
9606.ENSP00000476136,HIST1H2BJ,1,0
9606.ENSP00000476792,RGAG4,1,0
9606.ENSP00000476795,GAN,1,0
9606.ENSP00000478557,ZNF787,1,0
9606.ENSP00000478570,VEGFA,1,0
9606.ENSP00000480798,NDFIP2,1,0
9606.ENSP00000480971,SSTR3,1,0
9606.ENSP00000481249,SOCS2,1,0
9606.ENSP00000481486,HIST1H4I,1,0
9606.ENSP00000481920,MED6,1,0
9606.ENSP00000482620,RAB11FIP4,1,0
9606.ENSP00000483624,CLECL1,1,0
9606.ENSP00000484060,PACSIN1,1,0
9606.ENSP00000484342,NEB,1,0
9606.ENSP00000484631,PMP22,1,0
9606.ENSP00000484689,IFITM2,1,0
