geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000182899,-0.019388726736334114,7.0234172644769055,-0.15768747361676907,0.8754226798497033,0.9318360777082614,-6.635229866699052,visit,down
ENSG00000102871,-0.013827449135738695,6.74581686019169,-0.15764539423493093,0.8754556430609193,0.9318360777082614,-6.635236535926622,visit,down
ENSG00000154978,0.014145459731044646,5.622454705458894,0.15754661434429007,0.8755330239349625,0.9318493034624952,-6.635252184721805,visit,up
ENSG00000137770,-0.023696267697592446,4.942938514244036,-0.1573029646461864,0.8757238962484644,0.9319833097611624,-6.6352907420295075,visit,down
ENSG00000035720,0.06608483317900565,2.670557190854006,0.15674763823346718,0.8761589603662925,0.9323458379956392,-6.635378399094298,visit,up
ENSG00000128607,0.0243210196165676,4.999620499421617,0.15670225088901416,0.8761945202744463,0.9323458379956392,-6.635385549699495,visit,up
ENSG00000170909,-0.014943060422262693,8.395367499069996,-0.156481433525048,0.8763675291299565,0.9323731096909763,-6.635420309131654,visit,down
ENSG00000133134,-0.06651810543341394,1.7456981857462228,-0.156415520220358,0.8764191729263212,0.9323731096909763,-6.635430675226862,visit,down
ENSG00000189127,-0.04492027173775462,-1.3322389844750366,-0.15635283212653886,0.8764682902395567,0.9323731096909763,-6.635440530050114,visit,down
ENSG00000096717,-0.01758544989444665,4.6730998031259405,-0.15633773791202787,0.8764801169170854,0.9323731096909763,-6.635442902332567,visit,down
ENSG00000147889,-0.03394481392199321,3.4680221332403347,-0.15623776006737805,0.8765584526659783,0.9323873034734281,-6.635458609576069,visit,down
ENSG00000181191,-0.041513829433874466,5.278979376879708,-0.15593896533614215,0.8767925750765893,0.9325026195917957,-6.63550549257167,visit,down
ENSG00000054611,0.017036193569783996,6.523190393932248,0.15593348960371187,0.8767968657238069,0.9325026195917957,-6.635506350916133,visit,up
ENSG00000128524,-0.01519171578635374,7.78750614849901,-0.15554835496132566,0.8770986570001722,0.9325557331283189,-6.635566646888533,visit,down
ENSG00000197134,0.056217760396150486,1.3624389334331,0.15553546871260956,0.8771087549767396,0.9325557331283189,-6.635568661760885,visit,up
ENSG00000092295,0.052829704136530826,1.0815663075499733,0.15548034225277116,0.8771519536392136,0.9325557331283189,-6.635577279359822,visit,up
ENSG00000139793,-0.028540197377789678,4.639812911961208,-0.15545021383529972,0.8771755632843512,0.9325557331283189,-6.635581987870536,visit,down
ENSG00000152818,0.016101085313633048,6.378380532460641,0.15542605851782068,0.8771944922883008,0.9325557331283189,-6.635585762238605,visit,up
ENSG00000253797,0.020890859393733308,4.766496917476475,0.15537202673797285,0.877236833860774,0.9325557331283189,-6.635594202806226,visit,up
ENSG00000172354,0.014108516453765261,7.128826731943535,0.15519457940902506,0.8773758915972283,0.9326095689712532,-6.635621902095604,visit,up
ENSG00000171860,-0.014164163271270454,7.921026669033602,-0.15514149429414253,0.8774174928485297,0.9326095689712532,-6.635630182466408,visit,down
ENSG00000169660,-0.019974084089085506,5.86863560040416,-0.1549306109918656,0.8775827593798928,0.9327161258011514,-6.63566304870956,visit,down
ENSG00000177951,0.012920643535234538,6.76742090565987,0.1543382696753278,0.8780469991499789,0.9331403992744348,-6.635755126452307,visit,up
ENSG00000196419,0.00939058046407263,8.248191943431564,0.1537466847269962,0.8785106894253246,0.9334975547088656,-6.635846734968428,visit,up
ENSG00000182180,0.01193112153467907,7.029237842995724,0.15368300166836368,0.8785606074247805,0.9334975547088656,-6.635856575509275,visit,up
ENSG00000218891,0.050326124361255116,0.9124595686947443,0.15360331551372816,0.8786230701628971,0.9334975547088656,-6.635868883171399,visit,up
ENSG00000165240,-0.022820709435178797,5.575327457747768,-0.15356771362216387,0.8786509772913959,0.9334975547088656,-6.635874379883309,visit,down
ENSG00000198924,0.05429147646880909,2.9093555631784547,0.1534707691835263,0.8787269695751593,0.9334975547088656,-6.635889341053565,visit,up
ENSG00000120738,0.051671225935196415,4.05502270740096,0.15341142413823886,0.8787734892195198,0.9334975547088656,-6.635898494955349,visit,up
ENSG00000167105,0.053428183306364896,-0.9117936894480211,0.15306775164940953,0.8790428971666556,0.933687963221807,-6.635951436480739,visit,up
ENSG00000119865,-0.04120544501746915,3.4904805955843528,-0.15301672009234354,0.8790829024980447,0.933687963221807,-6.635959287597452,visit,down
ENSG00000170175,0.03910260009428318,3.6403935139337116,0.15285968219825147,0.8792060117181895,0.9337078177031097,-6.635983431199858,visit,up
ENSG00000169976,0.0182907197379531,7.057323314355295,0.15282683107681075,0.8792317656037438,0.9337078177031097,-6.635988478723974,visit,up
ENSG00000108433,0.013495408275756866,6.2525032510508645,0.15270187910709107,0.8793297238542186,0.9337427252711042,-6.63600766750114,visit,up
ENSG00000107874,-0.014086786500230469,6.78367064937995,-0.15253772426785855,0.8794584187733336,0.9337626947709765,-6.636032852804033,visit,down
ENSG00000166682,-0.043906173477523125,-1.218298383384124,-0.15251184621368105,0.87947870707831,0.9337626947709765,-6.636036820651184,visit,down
ENSG00000124256,0.038738061351353784,4.077249918745265,0.15224621710825634,0.8796869641075995,0.9339146886026509,-6.636077510324843,visit,up
ENSG00000198056,-0.0318989624995382,4.657636100921577,-0.15212613691886837,0.8797811115250456,0.9339455250805316,-6.63609588122755,visit,down
ENSG00000075234,-0.020571510512224646,5.486327780465594,-0.1513864271397896,0.8803611107309773,0.9344856730572435,-6.636208729072324,visit,down
ENSG00000145191,-0.009952557464657294,6.705863031600835,-0.15123292041689787,0.8804814821805331,0.9344856730572435,-6.636232078738793,visit,down
ENSG00000156504,0.019392693566177715,4.301447930005318,0.15118195071610613,0.8805214504219072,0.9344856730572435,-6.636239826426871,visit,up
ENSG00000168916,-0.05523508368241937,-0.7361370464109637,-0.15114491820234846,0.8805504899196861,0.9344856730572435,-6.636245453945897,visit,down
ENSG00000176472,0.034699967435633444,1.625080797588671,0.1508987347606312,0.8807435418925234,0.9345706756027841,-6.636282829360057,visit,up
ENSG00000198026,-0.016547106859643557,5.712057659600876,-0.15087662981718036,0.8807608764916799,0.9345706756027841,-6.636286182340788,visit,down
ENSG00000039560,-0.06527152814225971,0.15847635709528746,-0.15075535855265243,0.8808559779335998,0.9345928983051353,-6.636304568600297,visit,down
ENSG00000101773,0.015400629504350258,5.388284469491318,0.15067020366855222,0.8809227578184073,0.9345928983051353,-6.636317470332864,visit,up
ENSG00000143452,-0.050562384773884445,-0.5435928888927547,-0.1506007063469192,0.8809772594298303,0.9345928983051353,-6.636327994406875,visit,down
ENSG00000143889,-0.016257959987224894,5.788517210545724,-0.15035372726159946,0.881170951583444,0.934729256981373,-6.636365355538909,visit,down
ENSG00000141376,-0.0283348581478379,4.90465593854365,-0.14993890061906157,0.88149629391084106,0.9349245264623226,-6.636427969533291,visit,down
ENSG00000113595,-0.02871721306122389,3.6683040731522594,-0.14987529487929288,0.8815461807709588,0.9349245264623226,-6.636437554912885,visit,down
ENSG00000061918,0.07015171602814065,0.1349839504159919,0.14986973488234562,0.881550541576456,0.9349245264623226,-6.636438392610854,visit,up
ENSG00000138750,0.013139616719394134,5.50334419512241,0.14935859121786899,0.8819514565846329,0.9351984958269941,-6.6365152715494276,visit,up
ENSG00000198498,0.016216914469555026,4.026341236129194,0.14927824817619628,0.8820144764148581,0.9351984958269941,-6.636527331741602,visit,up
ENSG00000023697,-0.011707961311906833,6.293880806408628,-0.1492255669849467,0.8820557991399529,0.9351984958269941,-6.636535236129599,visit,down
ENSG00000172725,-0.01393002846583614,7.96031100875643,-0.1490982989695839,0.882155628571504,0.9351984958269941,-6.636554320169479,visit,down
ENSG00000092140,0.021994051259250677,4.6664429540717585,0.1490613775121853,0.882184590241238,0.9351984958269941,-6.63655985355634,visit,up
ENSG00000120053,0.014291043476741242,6.036625179691833,0.14904172872766086,0.882200003068919,0.9351984958269941,-6.636562797744531,visit,up
ENSG00000241370,-0.030849363665223457,1.2506228038963179,-0.14892920144468216,0.8822882721971199,0.9352229609088136,-6.636579651446159,visit,down
ENSG00000237765,0.016641640703792347,5.864882573695601,0.1487915611845652,0.8823962426090439,0.9352683041351566,-6.6366002491377865,visit,up
ENSG00000168487,0.03753091898995855,4.137157678311623,0.1486476577221003,0.8825091285390422,0.9353188503266179,-6.636621763765661,visit,up
ENSG00000185869,-0.04189920386066539,2.126700511831934,-0.14803168711212422,0.8829923582261794,0.9357618653403833,-6.636713620879066,visit,down
ENSG00000186591,0.013393532964416196,6.582303540436542,0.14760027775450316,0.8833308262185011,0.936002484789732,-6.636777728254057,visit,up
ENSG00000134697,-0.019883490291660273,6.418326182231,-0.14757596937604964,0.8833498983387831,0.936002484789732,-6.636781334913301,visit,down
ENSG00000068366,0.01880260923831531,6.661887883312553,0.14740096921350512,0.8834872038489876,0.9360207723649092,-6.636807282353944,visit,up
