P337_BAL_EOS.pct.1,P337_BAL_EOS.pct.2,P337_BAL_EOS.pct.3,P337_BAL_EOS.pct.4,P337_BAL_EOS.pct.5,P337_BAL_EOS.pct.6,P337_BAL_EOS.pct.7,P337_BAL_EOS.pct.8,P337_BAL_EOS.pct.9
ENSG00000082074,ENSG00000104164,ENSG00000100350,ENSG00000105928,ENSG00000118508,ENSG00000110448,ENSG00000105397,ENSG00000142230,
ENSG00000084710,ENSG00000104368,ENSG00000100354,ENSG00000105993,ENSG00000118939,ENSG00000110660,ENSG00000105656,ENSG00000142731,
ENSG00000087087,ENSG00000105251,ENSG00000100368,ENSG00000106123,ENSG00000119185,ENSG00000111344,ENSG00000105939,ENSG00000142945,
ENSG00000087589,ENSG00000105376,ENSG00000100485,ENSG00000106266,ENSG00000119335,ENSG00000111371,ENSG00000105953,ENSG00000143228,
ENSG00000088035,ENSG00000105825,ENSG00000100644,ENSG00000106305,ENSG00000119403,ENSG00000111737,ENSG00000106105,ENSG00000143476,
ENSG00000088992,ENSG00000106336,ENSG00000100647,ENSG00000106351,ENSG00000121297,ENSG00000111796,ENSG00000106415,ENSG00000145386,
ENSG00000089159,ENSG00000106484,ENSG00000101003,ENSG00000106443,ENSG00000122986,ENSG00000112182,ENSG00000107185,ENSG00000146670,
ENSG00000089820,ENSG00000106565,ENSG00000101096,ENSG00000106462,ENSG00000123689,ENSG00000112486,ENSG00000108349,ENSG00000147536,
ENSG00000090238,ENSG00000106829,ENSG00000101109,ENSG00000106603,ENSG00000123975,ENSG00000113303,ENSG00000108592,ENSG00000148229,
ENSG00000090530,ENSG00000107317,ENSG00000101596,ENSG00000106636,ENSG00000124575,ENSG00000114251,ENSG00000108651,ENSG00000148773,
ENSG00000090659,ENSG00000108175,ENSG00000102755,ENSG00000107949,ENSG00000124713,ENSG00000114554,ENSG00000109320,ENSG00000149554,
ENSG00000090924,ENSG00000109063,ENSG00000103222,ENSG00000108055,ENSG00000125753,ENSG00000115085,ENSG00000109586,ENSG00000151725,
ENSG00000092067,ENSG00000109099,ENSG00000103319,ENSG00000108515,ENSG00000125910,ENSG00000115523,ENSG00000109606,ENSG00000152253,
ENSG00000095303,ENSG00000109118,ENSG00000103353,ENSG00000108829,ENSG00000126264,ENSG00000115526,ENSG00000111602,ENSG00000153044,
ENSG00000099337,ENSG00000110077,ENSG00000103404,ENSG00000108984,ENSG00000126453,ENSG00000115607,ENSG00000111880,ENSG00000153048,
ENSG00000099910,ENSG00000110665,ENSG00000103657,ENSG00000109062,ENSG00000126698,ENSG00000116106,ENSG00000112425,ENSG00000154839,
ENSG00000099958,ENSG00000110848,ENSG00000104043,ENSG00000109103,ENSG00000126768,ENSG00000116824,ENSG00000113368,ENSG00000156802,
ENSG00000099998,ENSG00000111249,ENSG00000104154,ENSG00000109519,ENSG00000126882,ENSG00000116983,ENSG00000114268,ENSG00000156970,
ENSG00000100034,ENSG00000111424,ENSG00000104687,ENSG00000110917,ENSG00000126934,ENSG00000117016,ENSG00000114770,ENSG00000159147,
ENSG00000100055,ENSG00000111860,ENSG00000104880,ENSG00000111328,ENSG00000127838,ENSG00000117090,ENSG00000115232,ENSG00000159259,
ENSG00000100234,ENSG00000112232,ENSG00000105409,ENSG00000111666,ENSG00000128228,ENSG00000117091,ENSG00000115760,ENSG00000160957,
ENSG00000100290,ENSG00000112414,ENSG00000105426,ENSG00000111846,ENSG00000128340,ENSG00000117560,ENSG00000116062,ENSG00000161800,
ENSG00000100393,ENSG00000112419,ENSG00000105699,ENSG00000113552,ENSG00000129351,ENSG00000119522,ENSG00000116514,ENSG00000162062,
