geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
PDGFAB,1.851658363345021,2.060602090418896,24.584057843443247,1.7736826836929405e-24,3.902101904124469e-24,45.318181944467206,(Intercept),up
IL16,2.3942520802881186,2.534375392526855,24.254889914816115,2.8355483916457187e-24,5.9982754438659435e-24,44.83925943094895,(Intercept),up
EGF,1.5559384152146438,1.577164621596178,23.82151396550633,5.304801546367628e-24,1.0806077224082206e-23,44.19981887780798,(Intercept),up
TNFA,1.6013079862895654,1.8344103600464066,23.30827338653677,1.1285723062761031e-23,2.1705015802686767e-23,43.42907344775196,(Intercept),up
IL12B,1.436602377915024,1.5239153016529694,23.298869681541348,1.1444462877780295e-23,2.1705015802686767e-23,43.41481249753188,(Intercept),up
CCL21,1.5968410171653873,1.7012196857083117,22.724972927011603,2.709643569350318e-23,4.967679877142249e-23,42.53476388359599,(Intercept),up
CCL22,2.6105843973543106,3.095660974232819,22.397671311738733,4.467798776855023e-23,7.926739765387944e-23,42.02411347779472,(Intercept),up
IFNA2,1.398130824495799,1.492545874884522,22.100388954548176,7.07543372258689e-23,1.2160901710696217e-22,41.55463872704763,(Intercept),up
GMCSF,1.6222138211841213,1.8256878560964485,21.351317412278046,2.308320170168492e-22,3.8472002836141536e-22,40.34701648452517,(Intercept),up
IL1RA,2.484888597483616,2.8736086981297624,21.027773056877958,3.8894852174599264e-22,6.291814322361646e-22,39.81412954917201,(Intercept),up
CCL7,1.6332790326849664,1.9308839240467635,20.556663261188767,8.417654915493863e-22,1.3227743438633213e-21,39.025573955941,(Intercept),up
IL1A,1.1291208941735718,1.1615468188342264,19.90789576402416,2.4986001764491404e-21,3.817305825130631e-21,37.9142867426619,(Intercept),up
TGFA,1.276366087682779,1.3495686421733328,18.639696605185815,2.2884928936475314e-20,3.4018137608274114e-20,35.65201626117324,(Intercept),up
IL12p70,1.0035527488920457,1.0547219678635775,17.36882428977762,2.389725106161539e-19,3.4588126536548594e-19,33.25587271914538,(Intercept),up
CCL13,1.2746478353317583,1.4205978474780792,16.71883153461979,8.364282059448226e-19,1.179578239152955e-18,31.976343323450678,(Intercept),up
IL1B,0.8140419806750155,0.8632171894249133,15.720370103246196,6.177838372671771e-18,8.494527762423685e-18,29.934368880191663,(Intercept),up
